[2025-10-09 08:09:36] Failed login attempt | Email: rty@gmail.com | IP: 127.0.0.1
[2025-10-09 08:15:20] Failed login attempt | Email: sai12@gmail.com | IP: 127.0.0.1
[2025-10-09 08:18:42] ❌ FAILED login | Email: sai12@gmail.com | IP: 127.0.0.1
[2025-10-09 08:19:05] ✅ SUCCESS login | User: sai@gmail.com | IP: 127.0.0.1
[2025-10-09 08:34:58] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:21:45] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:22:09] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:22:19] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:25:12] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:25:15] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:25:41] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:25:52] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:28:09] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:30:16] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:30:30] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 09:30:42] ❌ FAILED login | Email: qwe@gmail.com | IP: 127.0.0.1
[2025-10-09 11:13:42] ✅ SUCCESS login | User: sai@gmail.com | IP: 127.0.0.1
[2025-10-09 11:14:30] ❌ FAILED login | Email: sai@gmail.com | IP: 127.0.0.1
